Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.336013, 0.302406,7887.61, 2.04689, 0.0800549, 0.222826
8, 11295.8, 0.367696, -0.317444, 0.295139,4626.28, 0.976859, 0.460429, 0.215995
16, 11711.6, 0.26, -0.365949, 0.292311,9302.76, 0.631204, -0.0849966, 0.221073
32, 10471.1, 0.183848, -0.22126, 0.29262,6978.8, 0.383224, 0.18605, 0.239759
64, 7819.81, 0.13, 0.087963, 0.29398,8996.65, 0.252175, -0.0492942, 0.285769
128, 8042.72, 0.0919239, 0.0619636, 0.290128,7265, 0.154999, 0.152671, 0.376888
256, 8255.75, 0.065, 0.0371186, 0.294303,9031.05, 0.100314, -0.0533067, 0.538845
512, 8327.77, 0.0459619, 0.0287176, 0.30095,8668.74, 0.0598244, -0.0110494, 0.861537
1024, 8404.43, 0.0325, 0.0197776, 0.307348,8431.24, 0.0329065, 0.0166506, 1.50134
2048, 8414.95, 0.022981, 0.0185508, 0.322052,8316.63, 0.0140004, 0.0300178, 2.89118
