Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.229339, 0.305692,12325, 2.19144, -0.322704, 0.215508
8, 11295.8, 0.367696, -0.212253, 0.295372,13355.7, 1.10959, -0.433322, 0.215947
16, 11711.6, 0.26, -0.256884, 0.293987,8755.48, 0.627001, 0.0603691, 0.220879
32, 13333.3, 0.183848, -0.430923, 0.291736,9790.45, 0.39882, -0.0507025, 0.23995
64, 8921.11, 0.13, 0.0425934, 0.293488,6105.53, 0.239101, 0.34476, 0.276126
128, 8379.33, 0.0919239, 0.100737, 0.293456,10312, 0.1638, -0.106672, 0.378171
256, 9100.33, 0.065, 0.0233602, 0.300165,11147.5, 0.104375, -0.196342, 0.550983
512, 9182.56, 0.0459619, 0.0145358, 0.30149,10702.5, 0.0631834, -0.148583, 0.869668
1024, 9198.03, 0.0325, 0.0128755, 0.307967,9609.51, 0.0347955, -0.0312851, 1.51124
2048, 9139.75, 0.022981, 0.0191298, 0.324975,9419.22, 0.0160254, -0.0108628, 2.93651
