Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.15859, 0.307989,179365, 3.2145, -17.1415, 0.217456
8, 11295.8, 0.367696, -0.142487, 0.294861,21393.8, 1.16899, -1.16384, 0.216476
16, 9384.83, 0.26, 0.0507909, 0.293035,13384.4, 0.656185, -0.35374, 0.222617
32, 11730.1, 0.183848, -0.18642, 0.29657,10412, 0.401608, -0.0530973, 0.242555
64, 9168.54, 0.13, 0.072667, 0.294198,9280.02, 0.253195, 0.0613915, 0.279165
128, 9055.94, 0.0919239, 0.0840562, 0.291602,8164.66, 0.157984, 0.174202, 0.366798
256, 9694.72, 0.065, 0.0194476, 0.295864,10112.2, 0.102514, -0.0227759, 0.539601
512, 9883.36, 0.0459619, 0.000368449, 0.300091,9575.87, 0.0614333, 0.0314686, 0.838574
1024, 9717.93, 0.0325, 0.0171003, 0.310292,9675.4, 0.0348914, 0.0214014, 1.47676
2048, 9656.57, 0.022981, 0.0233059, 0.324414,9680.29, 0.0164368, 0.020907, 2.77481
