Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.145727, 0.309058,7887.61, 2.04689, 0.211081, 0.221985
8, 11295.8, 0.367696, -0.129803, 0.302504,8337.52, 1.05051, 0.166082, 0.220671
16, 11711.6, 0.26, -0.171399, 0.308449,9884.25, 0.635396, 0.0113777, 0.231305
32, 13333.3, 0.183848, -0.333601, 0.29897,5983.44, 0.375977, 0.401536, 0.242191
64, 10068.3, 0.13, -0.00703444, 0.299306,8071.26, 0.248576, 0.192712, 0.287562
128, 9470.45, 0.0919239, 0.0527653, 0.296292,9765.2, 0.162461, 0.0232849, 0.372495
256, 9926.31, 0.065, 0.00717072, 0.302417,9839.92, 0.101988, 0.0158108, 0.531975
512, 10026.7, 0.0459619, -0.00287147, 0.311807,9976.44, 0.0620838, 0.00215659, 0.854785
1024, 9888.21, 0.0325, 0.010981, 0.312353,9770.32, 0.0350279, 0.0227729, 1.48218
