Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 24312.6, 0.52, -0.234707, 0.300952,6309.89, 1.9769, 0.679555, 0.214862
8, 25881.6, 0.367696, -0.314386, 0.294791,7411.01, 1.03577, 0.623634, 0.213911
16, 18958, 0.26, 0.0372259, 0.296788,21739.2, 0.688919, -0.104017, 0.223625
32, 22599.8, 0.183848, -0.14772, 0.295289,24646.1, 0.439299, -0.251642, 0.240251
64, 19044.6, 0.13, 0.0328293, 0.296562,17524.3, 0.273368, 0.110037, 0.271589
128, 18173.4, 0.0919239, 0.0770721, 0.290963,15336.4, 0.173261, 0.221149, 0.357738
256, 20069.6, 0.065, -0.0192267, 0.294225,20006.4, 0.114918, -0.0160174, 0.50873
512, 20063.7, 0.0459619, -0.0189274, 0.305539,20900.9, 0.0728387, -0.061443, 0.8005
1024, 20534.4, 0.0325, -0.0428302, 0.350273,20657.1, 0.0442638, -0.0490648, 1.4987
2048, 20149.3, 0.022981, -0.023274, 0.343543,18648.1, 0.0242991, 0.052964, 2.54673
