Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 37228.7, 0.52, -0.573619, 0.317836,6309.89, 1.9769, 0.733287, 0.233078
8, 33322.5, 0.367696, -0.40851, 0.311688,27076.8, 1.19886, -0.144511, 0.234707
16, 25533.5, 0.26, -0.0792756, 0.321623,29437, 0.709093, -0.244273, 0.244449
32, 30446.5, 0.183848, -0.286942, 0.31439,17036.2, 0.423433, 0.279897, 0.254778
64, 26205.9, 0.13, -0.107698, 0.326682,22112.9, 0.280433, 0.0653101, 0.30397
128, 23573.2, 0.0919239, 0.00358313, 0.307347,21431.8, 0.180876, 0.0940984, 0.375306
256, 23393.2, 0.065, 0.011192, 0.317492,25576.6, 0.119074, -0.0810968, 0.542597
512, 23012.6, 0.0459619, 0.02728, 0.338113,25854.5, 0.0756517, -0.0928422, 0.868131
1024, 22842.6, 0.0325, 0.0344641, 0.327471,24842.3, 0.0462582, -0.0500605, 1.4269
2048, 22606.1, 0.022981, 0.0444621, 0.352159,23560.8, 0.0265462, 0.00410855, 2.5741
