Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 9927.65, 0.52, -0.167135, 0.34695,4037.97, 1.84116, 0.52528, 0.253677
8, 8544.24, 0.367696, -0.00449513, 0.328323,3248.89, 0.932628, 0.618047, 0.24825
16, 10122.2, 0.26, -0.190008, 0.323302,5727.32, 0.59721, 0.326673, 0.259973
32, 11499.7, 0.183848, -0.351949, 0.314482,9206.02, 0.396018, -0.0822967, 0.25228
64, 8623.74, 0.13, -0.0138424, 0.295086,9721.9, 0.254718, -0.142947, 0.284213
128, 8374.21, 0.0919239, 0.0154934, 0.321013,9841.5, 0.162653, -0.157006, 0.409181
256, 8786.8, 0.065, -0.0330119, 0.316114,9353.59, 0.101002, -0.0996463, 0.581775
512, 8461.9, 0.0459619, 0.00518465, 0.315511,8961.14, 0.0603654, -0.0535084, 0.919131
1024, 8528.24, 0.0325, -0.00261498, 0.334583,8203.9, 0.032498, 0.0355158, 1.62194
2048, 8273.96, 0.022981, 0.0272793, 0.35028,8439.33, 0.0142536, 0.00783751, 3.18102
