Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 44122.9, 0.52, -1.00077, 0.311408,19258.3, 2.3425, 0.126727, 0.225793
8, 45183.1, 0.367696, -1.04884, 0.298066,38553.2, 1.24392, -0.748206, 0.219033
16, 34775.7, 0.26, -0.576914, 0.291839,19256.8, 0.680791, 0.126796, 0.220475
32, 33932.4, 0.183848, -0.538674, 0.293072,21131.3, 0.432737, 0.0417968, 0.237576
64, 21672.2, 0.13, 0.0172659, 0.303088,25033.1, 0.28414, -0.135134, 0.280691
128, 20947.4, 0.0919239, 0.0501333, 0.303202,20454.1, 0.179831, 0.0725042, 0.368666
256, 22652.5, 0.065, -0.0271858, 0.321815,22314.1, 0.116783, -0.0118402, 0.548404
512, 22310.2, 0.0459619, -0.0116624, 0.31327,22465.7, 0.0738054, -0.0187137, 0.823185
1024, 21645.8, 0.0325, 0.0184667, 0.317621,23133.7, 0.0454982, -0.0490062, 1.38293
2048, 21350.3, 0.022981, 0.0318639, 0.350929,22318.1, 0.0260427, -0.012019, 2.5038
