Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.145498, 2.96258,6309.89, 1.9769, 0.369011, 2.11464
8, 11295.8, 0.367696, -0.129577, 2.94608,13355.7, 1.10959, -0.335569, 2.10837
16, 11711.6, 0.26, -0.171165, 2.92858,11856, 0.647902, -0.185599, 2.12834
32, 13333.3, 0.183848, -0.333334, 2.9305,9790.45, 0.39882, 0.0209554, 2.18586
64, 10068.3, 0.13, -0.00683303, 2.93602,14104.8, 0.266629, -0.410478, 2.28055
128, 9470.45, 0.0919239, 0.0529547, 2.93806,12237.8, 0.167943, -0.223778, 2.51579
256, 9926.31, 0.065, 0.00736928, 2.94071,12482, 0.106492, -0.248199, 3.14865
512, 10026.7, 0.0459619, -0.0026709, 2.94959,11481.4, 0.0642643, -0.148139, 4.21129
1024, 9888.21, 0.0325, 0.0111788, 3.01707,10420.5, 0.0359159, -0.042052, 6.88172
2048, 9774.05, 0.022981, 0.0225946, 3.00931,9794.38, 0.0166099, 0.0205615, 14.4857
