Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.145498, 7.3665,5047.71, 1.90835, 0.495229, 5.29891
8, 11295.8, 0.367696, -0.129577, 7.46725,16903.6, 1.13924, -0.690356, 5.35371
16, 11711.6, 0.26, -0.171165, 7.94662,14221, 0.66031, -0.422101, 5.83127
32, 13333.3, 0.183848, -0.333334, 7.77883,16519.9, 0.422093, -0.651992, 5.79092
64, 10068.3, 0.13, -0.00683303, 8.40119,10669.8, 0.257741, -0.0669782, 6.34687
128, 9470.45, 0.0919239, 0.0529547, 8.02757,10312, 0.1638, -0.0311969, 6.53092
256, 9926.31, 0.065, 0.00736928, 7.62584,11147.5, 0.104375, -0.114751, 7.63598
512, 10026.7, 0.0459619, -0.0026709, 8.23101,9669.76, 0.0615888, 0.033024, 10.8902
1024, 9888.21, 0.0325, 0.0111788, 8.05283,9875.8, 0.0351775, 0.0124204, 17.1466
2048, 9774.05, 0.022981, 0.0225946, 7.83213,9968.05, 0.0168664, 0.00319512, 35.2781
