Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.146874, 1.47568,3230.17, 1.77528, 0.676594, 1.06118
8, 11295.8, 0.367696, -0.130934, 1.47031,11871.6, 1.09479, -0.188588, 1.0609
16, 11711.6, 0.26, -0.172572, 1.4789,7755.61, 0.618556, 0.223508, 1.07796
32, 13333.3, 0.183848, -0.334936, 1.46817,11775.9, 0.407142, -0.179004, 1.11006
64, 10068.3, 0.13, -0.00804268, 1.46428,10669.8, 0.257741, -0.0682601, 1.17524
128, 9470.45, 0.0919239, 0.0518169, 1.49321,9765.2, 0.162461, 0.022307, 1.34534
256, 9926.31, 0.065, 0.0061767, 1.4792,10679.5, 0.10356, -0.0692346, 1.72095
512, 10026.7, 0.0459619, -0.00387555, 1.49093,10414.1, 0.062758, -0.0426576, 2.38877
1024, 9888.21, 0.0325, 0.00999075, 1.48836,10471.5, 0.0359823, -0.0484087, 3.94027
2048, 9774.05, 0.022981, 0.0214203, 1.50948,9789.6, 0.0166028, 0.0198634, 8.23801
