Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.340704, 0.301594,7887.61, 2.04689, 0.0768248, 0.220652
8, 11295.8, 0.367696, -0.32207, 0.29728,3655.13, 0.947383, 0.5722, 0.214661
16, 9384.83, 0.26, -0.0984118, 0.293192,7755.61, 0.618556, 0.0922746, 0.223897
32, 11365.7, 0.183848, -0.330255, 0.296783,9790.45, 0.39882, -0.145886, 0.242726
64, 8686.69, 0.13, -0.0167007, 0.295361,8587.73, 0.250638, -0.00511808, 0.282971
128, 8218.64, 0.0919239, 0.0380801, 0.294321,8689.19, 0.159555, -0.0169935, 0.384207
256, 8519.68, 0.065, 0.00284702, 0.294612,8685.7, 0.0995447, -0.0165847, 0.547614
512, 8638.48, 0.0459619, -0.0110583, 0.30304,9336, 0.0610272, -0.0926965, 0.889279
1024, 8456.33, 0.0325, 0.0102612, 0.314161,8357.49, 0.0327757, 0.0218297, 1.55065
2048, 8454.89, 0.022981, 0.0104292, 0.320871,8431.1, 0.0142369, 0.0132142, 3.00039
