Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.145498, 5.91635,12325, 2.19144, -0.232495, 4.23057
8, 11295.8, 0.367696, -0.129577, 5.88137,27076.8, 1.19886, -1.70768, 4.24909
16, 11711.6, 0.26, -0.171165, 5.89391,12597, 0.652049, -0.259705, 4.28743
32, 13333.3, 0.183848, -0.333334, 5.90047,12523.4, 0.409889, -0.252345, 4.35583
64, 10068.3, 0.13, -0.00683303, 5.90152,11710.1, 0.260733, -0.171007, 4.51507
128, 9470.45, 0.0919239, 0.0529547, 5.99322,9539.83, 0.161883, 0.0460167, 4.90305
256, 9926.31, 0.065, 0.00736928, 6.00334,11278.7, 0.104596, -0.127867, 6.08371
512, 10026.7, 0.0459619, -0.0026709, 5.98699,10598.6, 0.0630318, -0.0598578, 7.93882
1024, 9888.21, 0.0325, 0.0111788, 5.97256,10050.9, 0.0354208, -0.00508601, 12.7281
2048, 9774.05, 0.022981, 0.0225946, 5.92875,9982.66, 0.0168876, 0.0017341, 26.7593
